Source_X(m),Source_Y(m),Source_Z(m),Delta_X(m),Delta_Y(m),Delta_Z(m),w_x(m/s),w_y(m/s),w_z(m/s),T(ºC),Phi_línea_recta(º),Phi_real(º),Delta_Phi(º),Theta_línea_recta(º),Theta_real(º),Delta_Theta(º),Error_Relativo(%)
9887.0,9161.0,4542.0,-5821.0,-1918.0,359.0,-8.0,-2.0,-9.0,-3.0,-161.65265299319262,-161.65033541649086,0.002317576701756252,86.64770413751383,86.65218835307505,0.0044842155612201395,0.008493753117575087
8821.0,3914.0,5791.0,-324.0,2847.0,-1893.0,17.0,15.0,12.0,-15.0,100.8251302304161,100.782270355493,-0.04285987492309573,123.4505884324198,127.42539710588922,3.9748086734694112,0.07096333664869807
790.0,1100.0,7589.0,1034.0,36.0,521.0,14.0,9.0,-13.0,21.0,0.2354879760434518,0.18828928860174104,-0.04719868744171077,63.27184925851101,60.25845640136816,-3.013392857142854,0.14820374223176522
6741.0,7116.0,7254.0,-466.0,2644.0,-3013.0,19.0,12.0,-1.0,-20.0,106.08484394602111,105.99657757013708,-0.0882663758840323,138.29717306667067,140.0478108217727,1.7506377551020478,0.11696957401401736
9510.0,8714.0,2331.0,-2413.0,-5550.0,-1591.0,3.0,2.0,-19.0,-7.0,-113.85297994973256,-113.85961454780428,-0.006634598071727282,104.72943020917901,103.02184092346472,-1.7075892857142918,0.0779488003391138
8777.0,1157.0,1200.0,-5071.0,5979.0,4667.0,3.0,-15.0,15.0,21.0,128.86548470698855,128.82682954052203,-0.038655166466526225,59.23504786802482,64.7596014394534,5.524553571428584,0.07185902729273444
9575.0,4578.0,1617.0,-4042.0,-1937.0,4341.0,12.0,-1.0,11.0,38.0,-155.75556886830717,-155.80439381081212,-0.048824942504950286,45.91656769437629,49.56133810253955,3.644770408163261,0.1296337406553676
9789.0,364.0,3751.0,-2693.0,615.0,1618.0,-4.0,10.0,-3.0,16.0,168.95375481154693,168.94676962581062,-0.006985185736311905,59.640909774916025,59.36826946879358,-0.2726403061224474,0.04593007570750257
3042.0,7948.0,649.0,4409.0,-270.0,1629.0,-7.0,-16.0,16.0,21.0,-0.6026756577396198,-0.64864736465632,-0.04597170691670016,69.7569994537319,73.7461576169972,3.9891581632653015,0.1156072310246241
1048.0,949.0,8292.0,2506.0,2055.0,-3468.0,-19.0,11.0,-4.0,7.0,34.033497817206204,34.05335089728653,0.019853080080324048,136.9392596468601,136.26483362645195,-0.6744260204081627,0.06736344808047455
288.0,9864.0,1834.0,-10.0,-8809.0,5910.0,-7.0,-5.0,-9.0,-15.0,-88.4531763685107,-88.55879698197818,-0.10562061346747953,56.142168840561695,56.85964333035761,0.7174744897959187,0.15181281575428476
2169.0,9225.0,1274.0,3527.0,-7319.0,-1046.0,4.0,-9.0,-1.0,-2.0,-64.21716134557649,-64.21606279225188,0.0010985533246099521,97.3362682234616,99.47434220305345,2.1380739795918515,0.06737313347645421
3378.0,3872.0,1801.0,-994.0,5521.0,3751.0,2.0,-10.0,15.0,8.0,100.24643219578151,100.24501839683406,-0.0014137989474534152,56.23112249364451,60.980803616093496,4.749681122448983,0.06649184740251106
7850.0,4694.0,2066.0,-5398.0,-2919.0,428.0,8.0,-12.0,18.0,6.0,-154.10542479987083,-154.11235236147414,-0.006927561603305321,86.01039854362027,90.803128135457,4.792729591836732,0.14222919081129495
4670.0,6455.0,4775.0,4537.0,-697.0,1129.0,4.0,-7.0,-6.0,-8.0,-7.5223040038313895,-7.524025159191742,-0.0017211553603528884,76.18196366431553,76.23218687860124,0.050223214285708195,0.02676257041629574
1405.0,9790.0,9524.0,7792.0,-1748.0,-5753.0,-12.0,-2.0,-14.0,31.0,-11.69959249632958,-11.749313390186769,-0.04972089385718981,125.76959419051633,124.8225278639857,-0.9470663265306314,0.13942257574255712
1381.0,4079.0,4017.0,3532.0,1853.0,2686.0,12.0,-3.0,1.0,-10.0,29.547633083514842,29.542432315390062,-0.005200768124780097,56.04266897807168,56.409477810979844,0.3668088329081627,0.008849836015347005
245.0,758.0,2363.0,6056.0,2445.0,5866.0,-8.0,-6.0,19.0,38.0,22.54110335286709,22.52220580416349,-0.018897548703598943,48.07025082557485,53.207368172513625,5.137117346938773,0.12354688154614091
2624.0,9267.0,9908.0,6579.0,-3238.0,-9389.0,2.0,3.0,1.0,35.0,-27.19892829616854,-27.280895174887643,-0.08196687871910413,142.01073290049334,143.99096249233006,1.9802295918367179,0.1528849440140128
1504.0,6635.0,9395.0,636.0,-6142.0,-7892.0,1.0,-18.0,-18.0,-6.0,-83.82684708642185,-83.82866369395578,-0.0018166075339252075,141.95974290279062,144.24131178034162,2.2815688775509955,0.0761121320641072
8903.0,4425.0,7961.0,-2805.0,-2611.0,-3566.0,17.0,9.0,-16.0,18.0,-138.18492010563943,-138.2089896191606,-0.024069513521169483,132.93968770644784,129.73975148195802,-3.199936224489818,0.048708994137747326
4971.0,3050.0,3886.0,-1463.0,5016.0,266.0,-1.0,8.0,12.0,9.0,106.4862862804129,106.49181475315163,0.005528472738731693,87.08563996448567,90.51516802571015,3.429528061224488,0.059043557522903536
1634.0,5261.0,7085.0,3952.0,-3287.0,1611.0,11.0,3.0,-5.0,-14.0,-41.653036817940475,-41.720479935776886,-0.06744311783641166,72.59870123406614,72.91439000957635,0.31568877551021046,0.14732730973806
8893.0,5458.0,3877.0,-6312.0,-437.0,-2477.0,-1.0,11.0,-11.0,20.0,-174.03443862156672,-174.0555298273265,-0.021091205759773857,111.37984593267531,111.25787526941001,-0.12197066326530148,0.03632574850836039
3763.0,5238.0,5063.0,1554.0,-2198.0,3400.0,-11.0,-1.0,15.0,39.0,-52.225778206942245,-52.2439807540073,-0.01820254706505864,38.36950685107251,41.42594817760313,3.0564413265306243,0.05556886735795702
